gov,year,average_household_size
jenin,1997,5.9
tubas,1997,6.1
tulkarm,1997,5.8
nablus,1997,6.1
qalqiliya,1997,6
salfit,1997,5.9
ramallahbireh,1997,5.9
jericho,1997,5.4
jerusalem,1997,6.2
bethlehem,1997,5.8
hebron,1997,6.7
northgaza,1997,7.2
gaza,1997,6.9
deirbalah,1997,6.9
khanyunis,1997,6.9
rafah,1997,6.9
jenin,2007,5.3
tubas,2007,5.3
tulkarm,2007,5.3
nablus,2007,5.6
qalqiliya,2007,5.4
salfit,2007,5.4
ramallahbireh,2007,5.9
jericho,2007,5.4
jerusalem,2007,6.2
bethlehem,2007,5.3
hebron,2007,6.1
northgaza,2007,6.7
gaza,2007,6.5
deirbalah,2007,6.4
khanyunis,2007,6.3
rafah,2007,6.5
jenin,2017,4.9
tubas,2017,4.9
tulkarm,2017,4.9
nablus,2017,4.9
qalqiliya,2017,4.9
salfit,2017,4.9
ramallahbireh,2017,4.9
jericho,2017,4.9
jerusalem,2017,4.9
bethlehem,2017,4.1
hebron,2017,4.9
northgaza,2017,5.7
gaza,2017,5.6
deirbalah,2017,5.7
khanyunis,2017,5.6
rafah,2017,5.7
